Date,Open,High,Low,Close,Adj Close,Volume
1/24/1995,0.377232,0.378348,0.36942,0.371652,0.31275,218097600
1/25/1995,0.352679,0.375,0.352679,0.365932,0.307936,517070400
1/26/1995,0.364955,0.370536,0.350446,0.352679,0.296784,246388800
1/27/1995,0.356027,0.360491,0.348214,0.356027,0.299601,298569600
1/30/1995,0.358259,0.361607,0.356027,0.358259,0.301479,230585600
1/31/1995,0.361607,0.364955,0.357143,0.360491,0.303357,212777600
2/1/1995,0.363839,0.363839,0.356027,0.358259,0.301479,158368000
2/2/1995,0.358259,0.373884,0.358259,0.371652,0.31275,203582400
2/3/1995,0.375,0.376116,0.360491,0.361607,0.304297,319211200
2/6/1995,0.363839,0.363839,0.352679,0.361607,0.304297,243028800
2/7/1995,0.360491,0.366071,0.357143,0.364397,0.306644,201600000
2/8/1995,0.366071,0.378348,0.364955,0.37779,0.317915,402864000
2/9/1995,0.376116,0.391741,0.376116,0.389509,0.327776,475395200
2/10/1995,0.389509,0.394531,0.387277,0.390625,0.328716,350963200
2/13/1995,0.388393,0.397321,0.386161,0.390625,0.329619,283371200
2/14/1995,0.390625,0.393973,0.38058,0.383371,0.323498,165614400
2/15/1995,0.386161,0.388393,0.379464,0.380022,0.320672,184475200
2/16/1995,0.385045,0.386161,0.38058,0.385603,0.325382,218780800
2/17/1995,0.382813,0.383929,0.379464,0.379464,0.320201,121788800
2/21/1995,0.38058,0.381696,0.364955,0.366071,0.3089,301582400
2/22/1995,0.362723,0.366071,0.358259,0.364397,0.307487,293417600
2/23/1995,0.367188,0.373884,0.357143,0.358817,0.302779,314708800
2/24/1995,0.358259,0.360491,0.34375,0.348214,0.293832,568814400
2/27/1995,0.341518,0.348214,0.340262,0.341518,0.288181,268811200
2/28/1995,0.34375,0.356027,0.339286,0.352679,0.297599,222969600
3/1/1995,0.354911,0.358259,0.351981,0.357143,0.301366,224448000
3/2/1995,0.358259,0.363839,0.354911,0.357143,0.301366,268744000
3/3/1995,0.354911,0.363281,0.352679,0.359375,0.30325,145768000
3/6/1995,0.354911,0.357143,0.352679,0.354911,0.299483,132720000
3/7/1995,0.356027,0.356027,0.341518,0.342076,0.288652,150785600
3/8/1995,0.345982,0.358259,0.337054,0.353237,0.29807,364873600
3/9/1995,0.356027,0.360491,0.351563,0.354911,0.299483,196683200
3/10/1995,0.353795,0.360491,0.351563,0.352679,0.297599,137412800
3/13/1995,0.353795,0.353795,0.339286,0.340402,0.28724,325752000
3/14/1995,0.341518,0.341518,0.308036,0.3125,0.263695,727865600
3/15/1995,0.316964,0.323661,0.311384,0.3125,0.263695,730968000
3/16/1995,0.314732,0.321429,0.3125,0.314732,0.265579,316736000
3/17/1995,0.316964,0.316964,0.311384,0.313616,0.264637,215644800
3/20/1995,0.313616,0.31808,0.3125,0.314732,0.265579,189884800
3/21/1995,0.316964,0.328125,0.314732,0.323661,0.273113,305368000
3/22/1995,0.323661,0.352679,0.323661,0.339844,0.286769,479147200
3/23/1995,0.33817,0.339286,0.330218,0.331473,0.279705,170094400
3/24/1995,0.333705,0.33817,0.332589,0.337054,0.284415,128116800
3/27/1995,0.335938,0.335938,0.327009,0.332031,0.280176,142800000
3/28/1995,0.323661,0.324498,0.304688,0.30692,0.258987,689796800
3/29/1995,0.303571,0.311384,0.302455,0.30692,0.258987,496876800
3/30/1995,0.309152,0.316964,0.308036,0.315848,0.266521,273414400
3/31/1995,0.313616,0.31808,0.310268,0.314732,0.265579,183243200
4/3/1995,0.316964,0.319196,0.313616,0.316964,0.267462,154302400
4/4/1995,0.319196,0.320313,0.300223,0.302455,0.255219,428198400
4/5/1995,0.304688,0.310268,0.301339,0.310268,0.261812,264857600
4/6/1995,0.332589,0.339286,0.317243,0.328125,0.27688,722825600
4/7/1995,0.330357,0.331473,0.323661,0.328125,0.27688,295724800
4/10/1995,0.329241,0.330357,0.322545,0.327009,0.275939,117801600
4/11/1995,0.328125,0.33817,0.327009,0.337054,0.284415,214513600
4/12/1995,0.341518,0.353795,0.333705,0.348214,0.293832,474712000
4/13/1995,0.350446,0.350446,0.33817,0.341518,0.288181,174361600
4/17/1995,0.340402,0.351563,0.33817,0.342634,0.289123,208812800
4/18/1995,0.34375,0.344866,0.334821,0.334821,0.28253,231134400
4/19/1995,0.334821,0.334821,0.31808,0.324777,0.274055,279428800
4/20/1995,0.331473,0.34375,0.327009,0.335938,0.283473,329504000
4/21/1995,0.332589,0.352679,0.331473,0.34933,0.294773,666624000
4/24/1995,0.348214,0.353795,0.34375,0.348214,0.293832,272238400
4/25/1995,0.34933,0.351563,0.332589,0.337054,0.284415,273638400
4/26/1995,0.335938,0.345982,0.333705,0.341518,0.288181,230440000
4/27/1995,0.34375,0.34375,0.337054,0.33817,0.285356,139865600
4/28/1995,0.339286,0.342634,0.334821,0.341518,0.288181,195316800
5/1/1995,0.341518,0.345982,0.339286,0.341518,0.288181,177956800
5/2/1995,0.341518,0.342634,0.334821,0.340402,0.28724,120008000
5/3/1995,0.341518,0.344866,0.339286,0.340402,0.28724,168784000
5/4/1995,0.341518,0.356027,0.339286,0.34375,0.290065,303643200
5/5/1995,0.345982,0.34933,0.340402,0.347098,0.29289,208006400
5/8/1995,0.356027,0.366071,0.354911,0.361607,0.305133,386971200
5/9/1995,0.362723,0.36942,0.357143,0.368304,0.310784,322929600
5/10/1995,0.370536,0.373884,0.363839,0.369978,0.312197,275072000
5/11/1995,0.371652,0.371652,0.360491,0.366071,0.3089,523622400
5/12/1995,0.364955,0.390067,0.361607,0.389509,0.328678,647953600
5/15/1995,0.385045,0.390625,0.379464,0.389509,0.328678,393355200
5/16/1995,0.385045,0.396205,0.379464,0.390625,0.329619,332516800
5/17/1995,0.390625,0.396205,0.388393,0.392857,0.331503,263144000
5/18/1995,0.393973,0.393973,0.386161,0.387277,0.326794,371571200
5/19/1995,0.382813,0.390625,0.38058,0.381696,0.322085,322593600
5/22/1995,0.379464,0.393973,0.377232,0.393973,0.332444,371884800
5/23/1995,0.393973,0.396205,0.388393,0.391741,0.330561,276662400
5/24/1995,0.390625,0.395089,0.382813,0.388393,0.327736,264667200
5/25/1995,0.386161,0.392857,0.383929,0.387277,0.326794,182862400
5/26/1995,0.383929,0.385045,0.377232,0.381138,0.322506,114553600
5/30/1995,0.38058,0.382813,0.370536,0.375,0.317312,196380800
5/31/1995,0.376116,0.376116,0.366071,0.371094,0.314007,159532800
6/1/1995,0.373884,0.379464,0.372768,0.376674,0.318728,186726400
6/2/1995,0.373884,0.378348,0.370536,0.376116,0.318256,105694400
6/5/1995,0.378348,0.388393,0.376116,0.388393,0.328645,254654400
6/6/1995,0.389509,0.396205,0.388393,0.392857,0.332422,315268800
6/7/1995,0.393973,0.393973,0.385045,0.385045,0.325812,124521600
6/8/1995,0.387277,0.387277,0.376116,0.383371,0.324395,136136000
6/9/1995,0.389509,0.390625,0.385045,0.388393,0.328645,186625600
6/12/1995,0.392857,0.397321,0.391741,0.394392,0.333721,212116800
6/13/1995,0.397321,0.398438,0.391741,0.392857,0.332422,125944000
6/14/1995,0.391741,0.391741,0.387277,0.389509,0.329589,118048000
6/15/1995,0.389509,0.390625,0.387277,0.389509,0.329589,92758400
6/16/1995,0.391741,0.392857,0.388393,0.391741,0.331478,89208000
6/19/1995,0.391741,0.404018,0.388393,0.396205,0.335255,469537600
6/20/1995,0.410714,0.426339,0.410714,0.422991,0.35792,738528000
6/21/1995,0.425223,0.447545,0.417411,0.440848,0.37303,626012800
6/22/1995,0.4375,0.44308,0.434152,0.438616,0.371142,473916800
